"_time","src_ip","src_zone","dest_ip","dest_zone","dest_port","packets_out","packets_in",dvc,"session_end_reason",flags,app
"2026-08-06T08:05:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,45,77,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T07:45:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,56,101,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T07:25:19.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,88,179,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T07:20:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,25,37,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T07:05:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,62,119,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T07:00:18.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,36,39,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T06:45:17.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,63,110,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T06:25:30.100-0400","10.124.10.17",Inside,"143.112.112.40",DMZ2,2032,490,1001,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssh
"2026-08-06T00:43:06.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:41:04.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:39:02.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:37:00.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:34:59.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:32:59.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:30:58.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:28:57.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:26:55.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:24:55.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:22:54.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:20:52.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:18:50.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:16:50.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:14:49.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:12:47.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:10:46.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:08:46.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:06:41.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:04:39.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:02:38.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-06T00:00:37.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T23:58:37.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T23:56:36.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T23:54:36.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
